game_id,turn,north_view,south_view,east_view,west_view
20250312_130835,1,000W,SS0000W,000W,000000W
20250312_130835,2,000W,000000W,S000W,00000W
20250312_130835,3,000W,000000W,SS000W,0000W
20250312_130835,4,R00W,000000W,SS0000W,000W
20250312_130835,5,000W,000000W,SS00000W,00W
20250312_130835,6,00W,S000000W,R000G00W,00W
20250312_130835,7,00W,0000000W,000G00W,S00W
20250312_130835,8,00W,0000000W,00G00W,S000W
20250312_130835,9,0W,S0000000W,00000W,0000W
20250312_130835,10,W,S00000000W,00000W,0000W
20250312_130835,11,W,S000000000W,W,W
20250312_131125,1,0000W,G0000W,0W,SS000000W
20250312_131125,2,0000W,00000W,S0W,0000000W
20250312_131125,3,0000W,00000W,SS0W,000000W
20250312_131125,4,S0000W,0000W,0G0W,000000W
20250312_131125,5,00000W,0000W,S0G0W,00000W
20250312_131125,6,00000W,0000W,SS0G0W,0000W
20250312_131125,7,00000W,0000W,SS00G0W,000W
20250312_131125,8,0000W,S0000W,000000W,000W
20250312_131125,9,000W,SS0000W,000000W,000W
20250312_131125,10,R00W,000000W,S000000W,00W
20250312_131125,11,SR00W,00000W,0000000W,00W
20250312_131125,12,SSR00W,0000W,00000G0W,00W
20250312_131125,13,SS0R00W,000W,0000000W,G0W
20250312_131125,14,000000W,000W,S0000000W,0W
20250312_131125,15,000000W,000W,SS0000000W,W
20250312_131125,16,00000W,S000W,0000000G0W,W
20250312_131125,17,00000W,S000W,000000G0W,SW
20250312_131125,18,S00000W,000W,00000000W,SW
20250312_131125,19,000R00W,000W,0000000W,S0W
20250312_131125,20,000000W,000W,000000W,SS0W
20250312_131125,21,000000W,000W,00000W,SSS0W
20250312_131125,22,S000000W,00W,00000W,0000W
20250312_131125,23,SS000000W,0W,00000W,0000W
20250312_131125,24,SSS000000W,W,00000W,0000W
20250312_131125,25,SSS0000000W,W,W,W
20250312_131151,1,00000W,0000W,SS000W,0000W
20250312_131151,2,00000W,R000W,0000W,S0000W
20250312_131151,3,0000W,SR000W,00G0W,00000W
20250312_131151,4,000W,SSR000W,0000W,00000W
20250312_131151,5,00W,SS0R000W,0000W,00000W
20250312_131151,6,00W,0000000W,S0000W,0000W
20250312_131151,7,S00W,000000W,00000W,0000W
20250312_131151,8,SS00W,00000W,000G0W,0000W
20250312_131151,9,0000W,00000W,S000G0W,000W
20250312_131151,10,S0000W,0000W,000000W,000W
20250312_131151,11,SS0000W,000W,0R0000W,000W
20250312_131151,12,SS00000W,00W,000000W,000W
20250312_131151,13,SS000000W,0W,0000G0W,000W
20250312_131151,14,00000000W,0W,000G0W,S000W
20250312_131151,15,0000000W,S0W,00000W,0000W
20250312_131151,16,0000000W,00W,S00000W,000W
20250312_131151,17,S0000000W,0W,0000G0W,000W
20250312_131151,18,00000000W,0W,000G0W,S000W
20250312_131151,19,S00000000W,W,00000W,0000W
20250312_131151,20,SS00000000W,W,W,W
20250316_111757,1,0000W,SS000W,0000W,00000W
20250316_111757,2,0000W,00000W,S0000W,0000W
20250316_111757,3,S0000W,0000W,00000W,0000W
20250316_111757,4,SS0000W,000W,00000W,0000W
20250316_111757,5,SS00000W,00W,00000W,0000W
20250316_111757,6,0000000W,00W,0000W,S0000W
20250316_111757,7,000000W,S00W,0000W,00000W
20250316_111757,8,000000W,000W,000W,S00000W
20250316_111757,9,000000W,000W,00W,SS00000W
20250316_111757,10,0000R0W,000W,0W,SS000000W
20250316_111757,11,S0000R0W,00W,0W,00000000W
20250316_111757,12,0000000W,00W,W,S00000000W
20250316_111757,13,W,W,W,SS00000000W
20250318_130906,1,00000W,0000W,SS00000W,00W
20250318_130906,2,00000W,0000W,SS00000W,00W
20250318_130906,3,00000W,0000W,000000W,S00W
20250318_130906,4,S00000W,000W,000000W,000W
20250318_130906,5,SS00000W,00W,000000W,000W
20250318_130906,6,0000000W,R0W,00000W,S000W
20250318_130906,7,000000W,SR0W,00000W,0000W
20250318_130906,8,00GG00W,000W,0000W,S0000W
20250318_130906,9,000000W,000W,000W,SS0000W
20250318_130906,10,000000W,000W,00W,SS00000W
20250318_130906,11,00000W,S000W,00W,0000000W
20250318_130906,12,0000W,SS000W,00W,0000000W
20250318_130906,13,0000W,00000W,S00W,000000W
20250318_130906,14,S0000W,0000W,000W,000000W
20250318_130906,15,SS0000W,000W,000W,000000W
20250318_130906,16,SS00000W,00W,000W,000000W
20250318_130906,17,000GG00W,00W,S000W,00000W
20250318_130906,18,S000GG00W,0W,0000W,R0000W
20250318_130906,19,SS000GG00W,W,0000W,00000W
20250318_130906,20,SS0000GG00W,W,W,W
20250318_131039,1,00000W,0000W,0000W,SS0R0W
20250318_131039,2,00000W,0000W,0000W,SS0R0W
20250318_131039,3,S00000W,000W,0000W,00000W
20250318_131039,4,SS00000W,00W,0000W,00000W
20250318_131039,5,SS000000W,0W,0000W,00000W
20250318_131039,6,SS0000000W,W,0000W,00000W
20250318_131039,7,SS00000000W,W,W,W
20250318_154054,1,0000W,00000W,SS00000W,00W
20250318_154054,2,0000W,00000W,SS00000W,00W
20250318_154054,3,0000W,00000W,000000W,S00W
20250318_154054,4,0000W,00R00W,00000W,SS00W
20250318_154054,5,000W,S00R00W,00000W,0000W
20250318_154054,6,00W,SS00R00W,00000W,0000W
20250318_154054,7,0W,SS000R00W,00000W,0000W
20250318_154054,8,0W,00000000W,0000W,S0000W
20250318_154054,9,0W,00000000W,000W,SS0000W
20250318_154054,10,GW,00000000W,00W,SS00000W
20250318_154054,11,0W,00000000W,0W,SS000000W
20250318_154054,12,0W,0000G000W,W,SS0000000W
20250318_154054,13,W,W,W,SS00000000W
20250318_154652,1,0000W,00000W,SS000W,0000W
20250318_154652,2,0000W,00000W,SS000W,0000W
20250318_154652,3,0000W,00000W,0000W,S0000W
20250318_154652,4,S0000W,0000W,0000W,00000W
20250318_154652,5,SS0000W,000W,000RW,000G0W
20250318_154652,6,SS00000W,00W,0000W,00000W
20250318_154652,7,SS000000W,0W,0000W,00000W
20250318_154652,8,00000000W,0W,S0000W,0000W
20250318_154652,9,00000000W,0W,SS0000W,000W
20250318_154652,10,00000000W,0W,SS00000W,00W
20250318_154652,11,S00000000W,W,0000000W,00W
20250318_154652,12,00G000000W,W,S0000000W,0W
20250318_154652,13,0000000G0W,W,SS0000000W,W
20250318_154652,14,W,W,SS00000000W,W
20250318_155741,1,0000W,000R0W,SS00000W,00W
20250318_155741,2,0000W,000R0W,SS00000W,00W
20250318_155741,3,0000W,00000W,000000W,S00W
20250318_155741,4,000W,S00000W,000000W,000W
20250318_155741,5,000W,000000W,00000W,S000W
20250318_155741,6,00W,S000000W,00G00W,0000W
20250318_155741,7,0W,SS000000W,00000W,0000W
20250318_155741,8,0W,00000000W,S00000W,000W
20250318_155741,9,W,S00000000W,000000W,000W
20250318_155741,10,W,SS00000000W,W,W
20250318_160121,1,00000W,0000W,SS0000W,000W
20250318_160121,2,00000W,0000W,SS0000W,000W
20250318_160121,3,00000W,0000W,00000W,S000W
20250318_160121,4,00000W,0000W,0000W,SS000W
20250318_160121,5,00000W,0000W,000W,SS0000W
20250318_160121,6,00000W,0000W,00W,SS00000W
20250318_160121,7,00000W,0000W,0W,SS000000W
20250318_160121,8,00000W,0000W,W,SS0000000W
20250318_160121,9,W,W,W,SS00000000W
20250318_160142,1,00000W,0000W,00W,SS00000W
20250318_160142,2,00000W,0000W,00W,SS00000W
20250318_160142,3,00000W,0000W,S00W,000000W
20250318_160142,4,00000W,0000W,SS00W,00000W
20250318_160142,5,00000W,0000W,SS000W,0000W
20250318_160142,6,00000W,0000W,SS0000W,000W
20250318_160142,7,S00000W,000W,000000W,000W
20250318_160142,8,SS00000W,00W,000000W,000W
20250318_160142,9,SS000000W,0W,00000GW,00GW
20250318_160142,10,00000000W,0W,S00000GW,0GW
20250318_160142,11,00000000W,0W,SS00000GW,GW
20250318_160142,12,00000000W,0W,SS000000GW,W
20250318_160142,13,0000000W,S0W,000000000W,W
20250318_160142,14,000000W,SS0W,000000000W,W
20250318_160142,15,00000W,SSS0W,00000000GW,W
20250318_160142,16,0000W,SSS00W,000000000W,W
20250318_160142,17,000W,SSS000W,000000000W,W
20250318_160142,18,00W,SSS0000W,000000000W,W
20250318_160142,19,00W,0000000W,00000000W,SW
20250318_160142,20,00W,0000000W,0000000W,SSW
20250318_160142,21,00W,0000000W,000000W,SSSW
20250318_160142,22,00W,0000000W,00000W,SSS0W
20250318_160142,23,00W,0000000W,0000W,SSS00W
20250318_160142,24,00W,0000000W,000W,SSS000W
20250318_160142,25,00W,0000000W,00W,SSS0000W
20250318_160142,26,00W,000000RW,0W,SSS00000W
20250318_160142,27,00W,00G00G0W,W,SSS000000W
20250318_160142,28,S00W,0G00G0W,W,000000000W
20250318_160142,29,SS00W,G00G0W,W,000000000W
20250318_160142,30,SSS00W,00G0W,W,000000000W
20250318_160142,31,SSSS00W,0G0W,W,000000000W
20250318_160142,32,SSSS000W,G0W,W,000000000W
20250318_160142,33,SSSS0000W,0W,W,G00000000W
20250318_160142,34,SSSSS0000W,W,W,R00000000W
20250318_160142,35,G00000000W,W,SW,00000000W
20250318_160142,36,000000000W,W,SSW,0000000W
20250318_160142,37,0000000R0W,W,SSSW,000000W
20250318_160142,38,000000000W,W,SSSSW,00000W
20250318_160142,39,00000G000W,W,SSSS0W,0000W
20250318_160142,40,000000000W,W,SSSS00W,000W
20250318_160142,41,000000000W,W,SSSS000W,00W
20250318_160142,42,00000000W,SW,00000G0W,00W
20250318_160142,43,0000000W,SSW,0000000W,00W
20250318_160142,44,0000000W,0SW,000000W,S00W
20250318_160142,45,000G000W,00W,00000W,SS00W
20250318_160142,46,0000000W,00W,0000W,SSS00W
20250318_160142,47,00000R0W,00W,000W,SSSS00W
20250318_160142,48,0000000W,00W,00W,SSSS000W
20250318_160142,49,0000000W,G0W,0W,SSSS0000W
20250318_160142,50,0000000W,00W,W,SSSS00000W
20250318_160142,51,S0000000W,0W,W,G00000000W
20250318_160142,52,S0000000W,0W,SW,00000000W
20250318_160142,53,S0000000W,0W,SSW,0000000W
20250318_160142,54,000000R0W,0W,SSSW,000000W
20250318_160142,55,00000000W,0W,SSSSW,00000W
20250318_160142,56,0000G000W,0W,SSSSSW,0000W
20250318_160142,57,00000000W,0W,SSSSS0W,000W
20250318_160142,58,0G000000W,0W,SSSSS00W,00W
20250318_160142,59,G000000W,S0W,0000000W,00W
20250318_160142,60,000000W,SS0W,0000000W,00W
20250318_160142,61,00000W,SSS0W,0000000W,00W
20250318_160142,62,0000W,SSSS0W,0000000W,00W
20250318_160142,63,000W,SSSSS0W,0G00000W,00W
20250318_160142,64,000W,000000W,G00000W,S00W
20250318_160142,65,000W,000000W,00000W,SS00W
20250318_160142,66,000W,000000W,0000W,SSS00W
20250318_160142,67,0R0W,000000W,000W,SSSS00W
20250318_160142,68,0G0W,000000W,00W,SSSSS00W
20250318_160142,69,G0W,S000000W,00W,0000000W
20250318_160142,70,0W,SS000000W,00W,R000000W
20250318_160142,71,W,SSS000000W,00W,0000000W
20250318_160142,72,W,R0S000000W,S00W,000000W
20250318_160142,73,W,00S000000W,SS00W,00000W
20250318_160142,74,W,000000000W,SSS00W,0000W
20250318_160142,75,W,0000000G0W,SSSS00W,000W
20250318_160142,76,W,000000000W,SSSSS00W,00W
20250318_160142,77,SW,00000000W,000RS00W,00W
20250318_160142,78,SSW,0000000W,0000000W,00W
20250318_160142,79,SSSW,000000W,0000000W,00W
20250318_160142,80,SSSSW,00000W,0000000W,00W
20250318_160142,81,SSSSSW,0000W,0000000W,00W
20250318_160142,82,SSSSSSW,000W,00000G0W,00W
20250318_160142,83,SSSSSSSW,00W,0000000W,00W
20250318_160142,84,SSSSSSSSW,0W,G000000W,00W
20250318_160142,85,00000000W,0W,000000W,S00W
20250318_160142,86,00000000W,0W,00000W,SS00W
20250318_160142,87,00000000W,0W,0000W,SSS00W
20250318_160142,88,000000R0W,0W,000W,SSSS00W
20250318_160142,89,00000000W,0W,00W,SSSSS00W
20250318_160142,90,0G000000W,0W,0W,SSSSSS00W
20250318_160142,91,0000000GW,0W,W,SSSSSSS00W
20250318_160142,92,000000GW,S0W,W,000000S00W
20250318_160142,93,00000GW,SS0W,W,G00000000W
20250318_160142,94,0000GW,SSS0W,W,000000000W
20250318_160142,95,000GW,SSSS0W,W,000000000W
20250318_160142,96,00GW,SSSSS0W,W,000000000W
20250318_160142,97,0GW,SSSSSS0W,W,000000000W
20250318_160142,98,GW,SSSSSSS0W,W,00R000000W
20250318_160142,99,W,SSSSSSSS0W,W,000000000W
20250318_160142,100,W,00G00G0S0W,SW,00000000W
20250318_160142,101,W,000000000W,SSW,0000000W
20250318_160142,102,W,R00000000W,SSSW,000000W
20250318_160142,103,W,000000000W,SSSSW,00000W
20250318_160142,104,W,000000000W,SSSSSW,0000W
20250318_160142,105,W,000000000W,SSSSSSW,000W
20250318_160142,106,SW,00000000W,00R00SW,000W
20250318_160142,107,SSW,0000000W,00000SW,000W
20250318_160142,108,SSSW,000000W,0000G0W,000W
20250318_160142,109,00SW,000000W,000G0W,S000W
20250318_160142,110,00SW,000000W,00G0W,SS000W
20250318_160142,111,0RSW,000000W,0G0W,SSS000W
20250318_160142,112,000W,000000W,G0W,SSSS000W
20250318_160142,113,G00W,00G000W,0W,SSSSS000W
20250318_160142,114,SG00W,0G000W,0W,00000000W
20250318_160142,115,SSG00W,G000W,0W,00000000W
20250318_160142,116,SSSG00W,000W,0W,00000000W
20250318_160142,117,SSSSG00W,00W,0W,00000000W
20250318_160142,118,000S000W,00W,S0W,0000000W
20250318_160142,119,000S0R0W,00W,SS0W,000000W
20250318_160142,120,000S00GW,00W,SSS0W,00000W
20250318_160142,121,000S000W,00W,SSSS0W,0000W
20250318_160142,122,0000000W,00W,SSSSS0W,000W
20250318_160142,123,0000000W,00W,SSSSSS0W,00W
20250318_160142,124,000000W,S00W,00000S0W,00W
20250318_160142,125,00000W,SS00W,00000S0W,00W
20250318_160142,126,0000W,SSS00W,00000S0W,00W
20250318_160142,127,000W,SSSS00W,0000000W,00W
20250318_160142,128,000W,000S00W,000000W,S00W
20250318_160142,129,000W,000S00W,00000W,SS00W
20250318_160142,130,00GW,000S00W,0000W,SSS00W
20250318_160142,131,0R0W,000S00W,000W,SSSS00W
20250318_160142,132,000W,000000W,00W,SSSSS00W
20250318_160142,133,G00W,000000W,0W,SSSSSS00W
20250318_160142,134,00W,S000000W,0W,00000000W
20250318_160142,135,0W,SS000000W,0W,0R000000W
20250318_160142,136,W,SSS000000W,0W,00G00000W
20250318_160142,137,W,00S000000W,S0W,0G00000W
20250318_160142,138,W,R0S000000W,SS0W,G00000W
20250318_160142,139,W,00S000000W,SSS0W,00000W
20250318_160142,140,W,00S000000W,SSSS0W,0000W
20250318_160142,141,W,00S000000W,SSSSS0W,000W
20250318_160142,142,W,000000000W,SSSSSS0W,00W
20250318_160142,143,W,00000000GW,SSSSSSS0W,0W
20250318_160142,144,W,000000000W,SSSSSSSS0W,W
20250318_160142,145,W,W,SSSSSSSSS0W,W
